NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MINIMATA BANGO,359.66,355.0,3.046,2.132,2016-10-27,70,48,66,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,357.21,3.046,2.478,2020-12-17,81,83,70,0.0,120.0,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,355.75,3.046,2.247,2015-07-22,74,77,52,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,356.95,3.046,2.436,2018-10-04,80,69,74,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,352.34,3.046,1.752,2017-06-07,58,24,43,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,354.3,3.046,2.029,2021-03-25,67,78,64,0.0,120.0,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,356.97,3.046,2.439,2020-02-06,80,61,60,0.0,120.0,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,354.86,3.046,2.111,2017-08-30,69,64,72,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,355.7,3.046,2.239,2023-10-26,74.0,78.0,74.0,0.0,120.0,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,346.14,3.046,1.015,2016-05-12,33,74,47,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,350.85,3.046,1.556,2018-05-31,51,58,47,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,354.81,3.046,2.104,2016-12-22,69,45,63,-,120,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,356.09,3.046,2.299,2021-11-25,75.0,81.0,74.0,0.0,120.0,82.5980006249313,22.605059906809
MINIMATA BANGO,359.66,349.96,3.046,1.445,2022-06-09,47.0,53.0,56.0,0.0,120.0,82.5980006249313,22.605059906809
