NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SUKHI(GUJ),147.82,147.52,0.167,0.159,2020-12-16,95,92,68,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,144.81,0.167,0.105,2021-03-25,63,55,25,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,146.41,0.167,0.13,2020-02-06,78,43,35,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.57,0.167,0.16,2023-10-26,96.0,83.0,69.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.8,0.167,0.163,2021-11-24,98.0,98.0,75.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.82,0.167,0.06,2022-06-09,36.0,34.0,17.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,144.82,0.167,0.105,2022-08-18,63.0,56.0,51.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.82,0.167,0.163,2021-11-17,98.0,98.0,68.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,145.21,0.167,0.112,2022-08-25,67.0,56.0,56.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,143.7,0.167,0.085,2023-09-06,51.0,71.0,65.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.28,0.167,0.062,2020-07-23,37,20,16,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,146.8,0.167,0.144,2021-01-21,86,81,63,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,143.97,0.167,0.089,2021-08-05,53,37,38,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,145.09,0.167,0.11,2021-03-18,66,62,34,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,139.62,0.167,0.029,2023-05-04,17.0,46.0,20.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,146.57,0.167,0.128,2024-01-04,77.0,66.0,77.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.74,0.167,0.163,2020-09-24,98,98,77,21,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.26,0.167,0.062,2020-07-09,37,2,10,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.77,0.167,0.163,2023-10-19,98.0,83.0,76.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.82,0.167,0.06,2022-06-23,36.0,32.0,14.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.02,0.167,0.055,2021-06-17,33,34,13,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.09,0.167,0.059,2021-06-03,35,36,14,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,144.1,0.167,0.092,2021-08-12,55,65,45,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,144.58,0.167,0.1,2024-03-13,60.0,41.0,45.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,143.91,0.167,0.088,2024-03-28,53.0,34.0,47.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,146.82,0.167,0.138,2023-12-21,83.0,70.0,81.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,146.45,0.167,0.137,2024-01-11,82.0,64.0,76.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,136.46,0.167,0.027,2023-05-10,16.0,42.0,22.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.82,0.167,0.151,2019-08-14,90,22,40,20.7,0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,145.58,0.167,0.119,2022-03-16,71.0,66.0,40.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.82,0.167,0.163,2019-11-20,98,62,41,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.17,0.167,0.06,2020-05-21,36,4,2,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,143.28,0.167,0.078,2024-04-24,47.0,20.0,29.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.3,0.167,0.062,2020-07-30,37,22,24,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,146.43,0.167,0.136,2022-11-16,81.0,98.0,87.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,146.5,0.167,0.138,2022-11-01,83.0,8.0,0.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.78,0.167,0.163,2023-09-29,98.0,75.0,75.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.52,0.167,0.159,2022-01-05,95.0,89.0,65.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.82,0.167,0.165,2022-01-12,99.0,86.0,59.0,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.82,0.167,0.163,2020-10-01,98,100,78,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,143.86,0.167,0.087,2023-09-14,52.0,73.0,65.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.82,0.167,0.163,2020-10-15,98,98,78,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,147.82,0.167,0.163,2020-10-29,98,98,77,20.701,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,142.27,0.167,0.062,2021-05-26,37,34,19,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,143.4,0.167,0.08,2024-04-16,48.0,24.0,29.0,20.7,0.0,73.8823864903958,22.4392307794915
SUKHI(GUJ),147.82,144.06,0.167,0.091,2023-02-08,54.0,86.0,69.0,20.701,0.0,73.8823864903958,22.4392307794915
