NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BISALPUR,315.5,312.47,1.076,0.564,2020-12-17,52,97,61,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,311.33,1.076,0.431,2021-03-25,40,76,44,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,314.73,1.076,0.944,2020-02-06,88,20,42,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,313.55,1.076,0.713,2023-10-26,66.0,100.0,77.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.11,1.076,0.515,2021-11-25,48.0,56.0,70.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,309.34,1.076,0.255,2022-06-09,24.0,29.0,38.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.43,1.076,0.558,2022-08-18,52.0,35.0,62.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.17,1.076,0.523,2021-11-18,49.0,57.0,72.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,315.32,1.076,1.06,2022-08-25,99.0,34.0,65.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,313.81,1.076,0.764,2023-09-06,71.0,100.0,76.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.69,1.076,0.594,2020-07-23,55,20,26,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.50,315.46,1.076,1.076,2022-11-10,100.0,50.0,72.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.1,1.076,0.514,2021-01-21,48,91,53,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,310.34,1.076,0.332,2021-08-05,31,54,37,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,311.43,1.076,0.441,2021-03-18,41,77,45,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,313.38,1.076,0.687,2023-05-04,64.0,30.0,42.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.63,1.076,0.585,2023-12-28,54.0,89.0,64.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,313.45,1.076,0.696,2020-09-24,65,100,73,82,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.8,1.076,0.608,2020-07-09,57,20,26,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,313.64,1.076,0.731,2023-10-19,68.0,100.0,77.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,309.17,1.076,0.242,2022-06-23,22.0,27.0,36.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,309.94,1.076,0.301,2021-06-17,28,58,33,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,310.2,1.076,0.321,2021-06-03,30,61,35,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,310.82,1.076,0.378,2021-08-12,35,55,51,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,311.74,1.076,0.473,2024-03-14,44.0,74.0,55.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,311.52,1.076,0.45,2024-03-28,42.0,72.0,53.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.71,1.076,0.596,2023-12-21,55.0,91.0,65.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.48,1.076,0.565,2024-01-11,53.0,86.0,61.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,313.28,1.076,0.674,2023-05-11,63.0,29.0,40.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,311.08,1.076,0.405,2022-03-17,38.0,41.0,51.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,315.5,1.076,1.076,2019-11-20,100,25,58,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,313.44,1.076,0.695,2020-05-21,65,20,30,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,311.03,1.076,0.4,2024-04-25,37.0,65.0,49.0,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,312.61,1.076,0.583,2020-07-30,54,20,30,81.8,0.0,28.3176982,79.842240707502
BISALPUR,315.5,315.39,1.076,1.074,2022-11-17,100.0,49.0,70.0,81.8,0.0,28.3176982,79.842240707502
