NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TATTIHALLA,468.3,449.75,0.249,0.001,2021-03-18,0,0,12,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.7,0.249,0.0,2023-05-03,0.0,1.0,1.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.78,0.249,0.001,2024-01-04,0.0,11.0,17.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,465.98,0.249,0.191,2020-09-24,77,63,33,0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,450.97,0.249,0.006,2020-07-09,2,6,6,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,453.66,0.249,0.022,2023-10-19,9.0,72.0,38.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,451.3,0.249,0.008,2022-06-23,3.0,17.0,5.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,452.9,0.249,0.017,2021-06-17,7,2,3,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,450.05,0.249,0.002,2021-06-03,1,0,1,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,464.44,0.249,0.158,2021-08-12,63,48,24,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.6,0.249,0.0,2024-03-14,0.0,0.0,5.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.6,0.249,0.0,2024-03-28,0.0,0.0,3.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,450.2,0.249,0.003,2023-12-21,1.0,23.0,20.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.6,0.249,0.0,2024-01-11,0.0,7.0,14.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.7,0.249,0.0,2023-05-11,0.0,1.0,1.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.7,0.249,0.0,2022-03-17,0.0,0.0,7.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,462.2,0.249,0.117,2019-11-21,47,50,41,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.5,0.249,0.0,2020-05-20,0,6,1,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,449.6,0.249,0.0,2024-04-25,0.0,0.0,1.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,453.05,0.249,0.018,2020-07-30,7,6,14,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,464.09,0.249,0.151,2022-11-17,61.0,25.0,29.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,466.1,0.24,0.1,3.0,2022-11-03,78.0,30.0,35.0,0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,454.65,0.249,0.03,2023-09-29,12.0,73.0,35.0,0.0,0.0,15.2735408,74.7806536
TATTIHALLA,468.3,459.5,0.249,0.078,2022-01-05,31.0,1.0,22.0,0.0,0.0,15.2735408,74.7806536
