NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MANDIRA DAM,210.31,208.91,0.309,0.263,2021-03-25,85,93,90,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.19,0.309,0.255,2023-10-19,83.0,72.0,77.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.01,0.309,0.309,2021-11-25,100.0,92.0,91.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.79,0.309,0.227,2022-06-09,73.0,61.0,67.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,205.32,0.309,0.131,2022-08-18,42.0,63.0,62.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.94,0.309,0.308,2021-11-18,100.0,88.0,89.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.05,0.309,0.193,2022-08-25,62.0,65.0,59.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.08,0.309,0.194,2023-09-06,63.0,54.0,60.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,20,0.22,0.3,0.244,2022-11-10,7.0,75.0,87.0,0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,588.70,0.884,0.5,8.0,2022-11-10,68.0,58.0,6.0,0,46.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.02,0.309,0.192,2021-08-05,62,64,60,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.0,0.309,0.266,2021-03-18,86,95,92,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.75,0.309,0.202,2023-04-27,65.0,90.0,82.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.19,0.309,0.255,2024-01-04,83.0,82.0,94.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.19,0.309,0.255,2023-10-19,83.0,72.0,77.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.05,0.309,0.2,2022-06-23,65.0,66.0,70.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.8,0.309,0.188,2021-06-10,61,83,68,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.9,0.309,0.188,2021-06-03,61,83,71,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.11,0.309,0.195,2021-08-12,63,62,61,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.76,0.309,0.244,2024-03-14,79.0,73.0,91.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.73,0.309,0.243,2024-03-28,79.0,76.0,88.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.19,0.309,0.255,2023-12-21,83.0,83.0,95.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.15,0.309,0.255,2024-01-11,83.0,82.0,94.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.35,0.309,0.188,2023-05-11,61.0,86.0,78.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.01,0.309,0.309,2022-03-17,100.0,86.0,92.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.03,0.309,0.222,2024-04-25,72.0,66.0,80.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.29,0.309,0.246,2022-11-17,80.0,100.0,92.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,20.0,0.48,0.3,0.252,2022-11-03,82.0,81.0,86.0,0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,58.0,0.1,0.884,0.615,2022-11-03,70.0,5.0,71.0,0,46.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.69,0.309,0.181,2023-09-28,59.0,55.0,67.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.19,0.309,0.309,2022-01-06,100.0,91.0,95.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.19,0.309,0.309,2022-01-13,100.0,91.0,96.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.6,0.309,0.17,2023-09-14,55.0,51.0,64.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.9,0.309,0.188,2021-05-27,61,87,73,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.24,0.309,0.229,2024-04-18,74.0,69.0,82.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.24,0.309,0.245,2023-02-09,79.0,100.0,95.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.0,0.309,0.238,2023-02-23,77.0,100.0,94.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.48,0.309,0.253,2021-04-12,82,92,86,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.8,0.309,0.263,2021-04-01,85,93,89,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.53,0.309,0.209,2021-04-29,68,91,82,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.85,0.309,0.247,2024-03-07,80.0,75.0,91.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.8,0.309,0.188,2021-06-10,61,83,68,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.14,0.309,0.181,2023-07-13,59.0,51.0,63.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.3,0.309,0.2,2022-06-30,65.0,63.0,67.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.2,0.309,0.205,2023-07-06,66.0,53.0,67.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.2,0.309,0.191,2021-07-22,62,64,61,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,205.67,0.309,0.127,2023-08-24,41.0,49.0,59.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.57,0.309,0.254,2022-12-22,82.0,100.0,96.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.03,0.309,0.309,2021-12-16,100.0,93.0,94.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.06,0.309,0.309,2021-12-02,100.0,93.0,93.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.94,0.309,0.276,2022-05-05,89.0,64.0,79.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.05,0.309,0.15,2023-06-08,49.0,74.0,68.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.3,0.309,0.249,2021-10-07,81,69,75,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,205.89,0.309,0.132,2023-08-31,43.0,49.0,61.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,20,0.21,0.3,0.244,2022-10-27,7.0,7.0,82,0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,58,0.37,0.884,0.628,2022-10-27,71.0,60.0,71,0,46.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.1,0.309,0.254,2024-02-08,82.0,79.0,94.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.97,0.309,0.25,2024-02-22,81.0,77.0,92.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.35,0.309,0.21,2021-09-30,68,72,72,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,205.01,0.309,0.123,2023-06-22,40.0,64.0,68.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.75,0.309,0.202,2023-04-27,65.0,90.0,82.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.6,0.309,0.254,2022-12-08,82.0,100.0,95.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.58,0.309,0.287,2021-02-11,93,95,95,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.09,0.309,0.309,2022-02-24,100.0,91.0,94.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.94,0.309,0.276,2022-05-05,89.0,64.0,79.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.38,0.309,0.159,2022-07-21,51.0,62.0,60.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.29,0.309,0.157,2022-07-14,51.0,62.0,64.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.08,0.309,0.194,2021-07-08,63,64,66,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.36,0.309,0.204,2024-05-16,66.0,59.0,74.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.79,0.309,0.216,2024-05-02,70.0,62.0,78.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.24,0.309,0.216,2022-10-20,70.0,68.0,79.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.08,0.309,0.201,2021-09-09,65,67,61,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.14,0.309,0.181,2022-09-15,59.0,65.0,65.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,207.99,0.309,0.236,2021-10-14,76,66,77,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,209.1,0.309,0.252,2023-01-12,82.0,100.0,96.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.05,0.309,0.15,2022-09-01,49.0,65.0,61.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,206.81,0.309,0.17,2022-09-29,55.0,68.0,69.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.39,0.309,0.254,2021-10-28,82.0,78.0,83.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.57,0.309,0.225,2023-03-16,73.0,100.0,93.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,208.87,0.309,0.235,2023-03-02,76.0,100.0,94.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.19,0.309,0.255,2023-11-02,83.0,82.0,83.0,0.0,0.0,22.3073212,84.6193753164174
MANDIRA DAM,210.31,210.12,0.309,0.254,2023-11-16,82.0,80.0,91.0,0.0,0.0,22.3073212,84.6193753164174
